id,average_length,average_weight,habitat,ph_of_water,color,Gender,life_span
1,14.69,5.87,ponds,6.2,Reddish_Orange,FALSE,10.9
2,1.32,3.86,idlewater,6.8,Calico,TRUE,5.2
3,14.23,12.09,lakes,7.9,Reddish_Orange,TRUE,25.3
4,2.54,3.2,rivers,6.7,White,FALSE,16.4
5,13.1,9.81,lakes,7.8,Orange,TRUE,3.2
6,15.2,8.99,lakes,7.8,White,FALSE,21.6
7,16.17,5.08,ponds,6.3,Red_and_Silver,FALSE,10.9
8,13.74,13.01,rivers,6.7,White,FALSE,23.1
9,13.21,5.22,lakes,7.6,Black_and_Orange,FALSE,5.4
10,19.04,15.54,rivers,6.7,Calico,TRUE,8.6
11,19.92,3.93,ponds,7.2,Yellow,FALSE,21.7
12,1.1,8.79,rivers,6.1,White,TRUE,13.4
13,10.83,13,rivers,7.6,Reddish_Orange,TRUE,6.6
14,5.97,11.1,ponds,6.4,Black_and_Orange,FALSE,26.6
15,18.94,11.98,slowmovingwaters,6.3,Black_and_Orange,FALSE,3.6
16,7.62,11.7,lakes,7.9,Black_and_Orange,FALSE,13.3
17,18.41,16.52,idlewater,6.7,Orange,FALSE,10.1
18,9.1,16.99,slowmovingwaters,6.6,Calico,TRUE,13.7
19,15.02,11.8,lakes,7.3,Reddish_Orange,FALSE,12.2
20,17.69,8.49,ponds,6.8,Black_and_Orange,FALSE,24.1
21,16.37,13.29,lakes,7.1,Calico,TRUE,12.5
22,4.7,4.5,idlewater,7.8,Red_and_White_Bi_Color,TRUE,27.7
23,18.37,15.16,lakes,6.3,Orange,TRUE,22.4
24,2.79,16.68,slowmovingwaters,8,Red_and_Silver,TRUE,16.1
25,19.87,18.59,lakes,7.6,Orange,TRUE,10
26,13.93,10.21,rivers,7.1,Green_and_Chocolate,TRUE,15.4
27,19.72,10.48,rivers,7.8,Red_and_Silver,FALSE,10.6
28,2.56,10.26,slowmovingwaters,7.7,Red_and_White_Bi_Color,TRUE,7.7
29,3.97,9.04,slowmovingwaters,7.7,White,TRUE,26.1
30,16.92,2.91,ponds,6.3,Orange,TRUE,8.8
31,9.51,3.57,slowmovingwaters,6.7,Red_and_Silver,FALSE,19.4
32,5.73,16.68,slowmovingwaters,6.3,White,TRUE,24.2
33,7.16,12.51,rivers,7.8,Green_and_Chocolate,TRUE,4.4
34,17,6.27,idlewater,7.5,Orange,FALSE,27
35,18.3,13.69,slowmovingwaters,6.5,Calico,FALSE,25
36,6.06,14.69,rivers,7.4,Yellow,FALSE,1.8
37,17.72,16.49,ponds,7.1,Green_and_Chocolate,TRUE,24.6
38,19.46,3.19,rivers,6.6,Black_and_Orange,FALSE,27
39,1.01,18.29,lakes,6.3,Green_and_Chocolate,TRUE,17.8
40,2.18,3.97,ponds,7.4,Red_and_Silver,TRUE,4.9
41,7.3,9.88,ponds,7.9,Black_and_Orange,TRUE,27.7
42,15.48,18.24,lakes,6.5,Calico,TRUE,1.9
43,7.85,11.57,idlewater,7.8,White,TRUE,6.2
44,10.96,10.01,rivers,7.5,Black_and_Orange,TRUE,1.7
45,3.61,8.63,slowmovingwaters,7.8,Reddish_Orange,TRUE,22.9
46,10.28,5.23,rivers,7.1,Red_and_Silver,FALSE,24.6
47,11.54,8.15,lakes,7,Black_and_Orange,TRUE,13.8
48,1.64,15.99,lakes,7.5,Calico,FALSE,20.8
49,6.6,8.78,ponds,6.7,White,TRUE,12.8
50,11.54,11.67,lakes,8,Red_and_Silver,FALSE,19.4
51,2.6,8.97,lakes,6.1,Red_and_White_Bi_Color,TRUE,21.2
52,7.86,7.75,slowmovingwaters,6.2,Red_and_White_Bi_Color,FALSE,7.9
53,2.93,12.07,slowmovingwaters,7.8,Orange,FALSE,13.2
54,17.67,12.24,slowmovingwaters,7.6,Yellow,TRUE,16
55,10.89,17.22,slowmovingwaters,7,Green_and_Chocolate,TRUE,17.2
56,16.96,8.97,idlewater,7.5,Red_and_White_Bi_Color,TRUE,8.2
57,10.96,13.29,slowmovingwaters,7.1,Red_and_White_Bi_Color,TRUE,26.5
58,8.91,7.82,idlewater,6.8,Red_and_Silver,TRUE,7.2
59,18.68,10.36,lakes,7.8,Red_and_Silver,FALSE,11.4
60,11.61,15.09,rivers,6.7,Red_and_Silver,TRUE,21.2
61,2.48,15.23,idlewater,6.5,Red_and_Silver,TRUE,21.5
62,7.95,8.7,ponds,7.5,Red_and_Silver,TRUE,20.1
